,LapTime,NextLapTime,LapNumber,DriverNumber,Team,Compound,TyreLife,FreshTyre,S1Time,S2Time,S3Time,S1STime,S2STime,S2STime,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Position,Deleted,TrackStatus
41,84.485,84.558,42.0,10,0,1,14.0,0,27.951999999999998,28.571,27.962,5630.217,5658.788,5658.788,314.0,311.0,323.0,0,11.0,0,1
42,84.558,84.47,43.0,10,0,1,15.0,0,28.105,28.503,27.95,5714.855,5743.358,5743.358,316.0,310.0,314.0,0,11.0,0,1
43,84.47,84.528,44.0,10,0,1,16.0,0,28.168,28.433,27.869,5799.476,5827.909,5827.909,313.0,308.0,310.0,0,11.0,0,1
44,84.528,84.309,45.0,10,0,1,17.0,0,28.193,28.416,27.919,5883.971,5912.387,5912.387,313.0,309.0,,0,11.0,0,1
45,84.309,84.317,46.0,10,0,1,18.0,0,28.073,28.4,27.836,5968.379,5996.779,5996.779,314.0,309.0,309.0,0,11.0,0,1
46,84.317,87.694,47.0,10,0,1,19.0,0,28.088,28.296,27.933,6052.703,6080.999,6080.999,314.0,310.0,310.0,0,11.0,0,1
47,87.694,84.423,48.0,10,0,1,20.0,0,30.065,29.563,28.066,6138.997,6168.56,6168.56,316.0,309.0,237.0,0,11.0,0,1
48,84.423,84.268,49.0,10,0,1,21.0,0,28.05,28.377,27.996,6224.676,6253.053,6253.053,316.0,308.0,312.0,0,11.0,0,1
49,84.268,83.885,50.0,10,0,1,22.0,0,28.188,28.315,27.765,6309.237,6337.552,6337.552,315.0,310.0,309.0,0,11.0,0,1
50,83.885,84.025,51.0,10,0,1,23.0,0,28.1,28.076,27.709,6393.417,6421.493,6421.493,315.0,310.0,312.0,0,11.0,0,1
51,96.2,88.982,1.0,11,1,2,1.0,0,,31.33,29.87,,2066.896,2066.896,335.0,313.0,252.0,0,17.0,0,2
52,88.982,87.504,2.0,11,1,2,2.0,0,28.329,31.183,29.47,2124.862,2156.045,2156.045,325.0,315.0,309.0,0,17.0,0,1
53,87.504,88.126,3.0,11,1,2,3.0,0,27.857,30.401,29.246,2213.372,2243.773,2243.773,328.0,315.0,353.0,0,16.0,0,2
54,88.126,86.524,4.0,11,1,2,4.0,0,27.957,30.264,29.905,2300.976,2331.24,2331.24,328.0,312.0,314.0,0,15.0,0,1
55,86.524,87.29,5.0,11,1,2,5.0,0,28.27,29.55,28.704,2389.415,2418.965,2418.965,315.0,307.0,335.0,0,14.0,0,1
56,87.29,85.606,6.0,11,1,2,6.0,0,28.088,29.205,29.997,2475.757,2504.962,2504.962,314.0,306.0,323.0,0,11.0,0,2
57,85.606,85.718,7.0,11,1,2,7.0,0,27.919,28.958,28.729,2562.878,2591.836,2591.836,319.0,307.0,325.0,0,11.0,0,1
58,85.718,86.187,8.0,11,1,2,8.0,0,27.939,29.078,28.701,2648.504,2677.582,2677.582,319.0,311.0,331.0,0,11.0,0,1
59,86.187,86.563,9.0,11,1,2,9.0,0,28.056,29.211,28.92,2734.339,2763.55,2763.55,326.0,311.0,323.0,0,11.0,0,1
60,86.563,87.438,10.0,11,1,2,10.0,0,27.937,29.69,28.936,2820.407,2850.097,2850.097,326.0,312.0,338.0,0,11.0,0,1
61,87.438,87.376,11.0,11,1,2,11.0,0,27.865,30.683,28.89,2906.898,2937.581,2937.581,324.0,311.0,351.0,0,11.0,0,1
62,87.376,86.839,12.0,11,1,2,12.0,0,27.948,30.452,28.976,2994.419,3024.871,3024.871,321.0,310.0,338.0,0,11.0,0,1
63,86.839,86.626,13.0,11,1,2,13.0,0,27.957,29.999,28.883,3081.804,3111.803,3111.803,321.0,311.0,328.0,0,11.0,0,1
64,86.626,86.229,14.0,11,1,2,14.0,0,27.816,29.93,28.88,3168.502,3198.432,3198.432,321.0,310.0,350.0,0,11.0,0,1
65,86.229,86.216,15.0,11,1,2,15.0,0,28.175,29.334,28.72,3255.487,3284.821,3284.821,322.0,312.0,320.0,0,11.0,0,1
66,86.216,86.499,16.0,11,1,2,16.0,0,28.071,29.487,28.658,3341.612,3371.099,3371.099,322.0,312.0,343.0,0,11.0,0,1
67,86.499,86.162,17.0,11,1,2,17.0,0,28.064,29.615,28.82,3427.821,3457.436,3457.436,322.0,310.0,344.0,0,11.0,0,1
68,86.162,86.136,18.0,11,1,2,18.0,0,28.053,29.465,28.644,3514.309,3543.774,3543.774,322.0,312.0,326.0,0,11.0,0,1
69,86.136,87.306,19.0,11,1,2,19.0,0,27.933,29.486,28.717,3600.351,3629.837,3629.837,322.0,313.0,342.0,0,11.0,0,1
70,87.306,86.197,20.0,11,1,2,20.0,0,28.044,30.272,28.99,3686.598,3716.87,3716.87,322.0,305.0,338.0,0,10.0,0,1
71,86.197,86.096,21.0,11,1,2,21.0,0,28.253,29.26,28.684,3774.113,3803.373,3803.373,310.0,306.0,321.0,0,10.0,0,1
72,86.096,86.583,22.0,11,1,2,22.0,0,28.379,29.109,28.608,3860.436,3889.545,3889.545,312.0,307.0,314.0,0,9.0,0,1
73,86.583,85.822,23.0,11,1,2,23.0,0,28.181,29.872,28.53,3946.334,3976.206,3976.206,312.0,307.0,315.0,0,9.0,0,1
74,85.822,85.835,24.0,11,1,2,24.0,0,28.191,29.14,28.491,4032.927,4062.067,4062.067,314.0,306.0,,0,9.0,0,1
75,85.835,85.81,25.0,11,1,2,25.0,0,28.19,29.026,28.619,4118.748,4147.774,4147.774,314.0,306.0,320.0,0,9.0,0,1
76,85.81,85.615,26.0,11,1,2,26.0,0,28.213,29.129,28.468,4204.606,4233.735,4233.735,313.0,308.0,316.0,0,9.0,0,1
77,85.615,101.911,27.0,11,1,2,27.0,0,28.192,28.954,28.469,4290.395,4319.349,4319.349,313.0,309.0,322.0,0,8.0,0,1
78,101.911,105.59,28.0,11,1,2,28.0,0,28.162,29.099,44.65,4375.98,4405.079,4405.079,316.0,,314.0,0,7.0,0,267
79,105.59,108.25,29.0,11,1,1,1.0,0,48.601,28.918,28.071,4498.33,4527.248,4527.248,322.0,318.0,287.0,0,10.0,0,7
80,108.25,85.708,30.0,11,1,1,2.0,0,28.081,42.629,37.54,4583.4,4626.029,4626.029,245.0,278.0,347.0,0,9.0,0,267
81,85.708,84.251,31.0,11,1,1,3.0,0,29.296,28.532,27.88,4692.865,4721.397,4721.397,322.0,310.0,304.0,0,8.0,0,7
82,84.251,84.133,32.0,11,1,1,4.0,0,27.718,28.611,27.922,4776.995,4805.606,4805.606,315.0,311.0,322.0,0,8.0,0,1
83,84.133,84.101,33.0,11,1,1,5.0,0,27.643,28.447,28.043,4861.171,4889.618,4889.618,315.0,312.0,320.0,0,8.0,0,1
84,84.101,83.77,34.0,11,1,1,6.0,0,27.69,28.494,27.917,4945.351,4973.845,4973.845,316.0,313.0,323.0,0,8.0,0,1
85,83.77,84.106,35.0,11,1,1,7.0,0,27.609,28.349,27.812,5029.371,5057.72,5057.72,318.0,313.0,322.0,0,8.0,0,1
86,84.106,84.515,36.0,11,1,1,8.0,0,27.663,28.521,27.922,5113.195,5141.716,5141.716,319.0,315.0,323.0,0,8.0,0,1
87,84.515,84.082,37.0,11,1,1,9.0,0,27.742,28.808,27.965,5197.38,5226.188,5226.188,336.0,315.0,327.0,0,8.0,0,1
88,84.082,84.29,38.0,11,1,1,10.0,0,27.425,28.726,27.931,5281.578,5310.304,5310.304,313.0,311.0,347.0,0,7.0,0,1
89,84.29,84.23,39.0,11,1,1,11.0,0,27.87,28.479,27.941,5366.105,5394.584,5394.584,315.0,311.0,313.0,0,7.0,0,1
90,84.23,84.031,40.0,11,1,1,12.0,0,27.815,28.455,27.96,5450.34,5478.795,5478.795,316.0,312.0,319.0,0,7.0,0,1
91,84.031,84.097,41.0,11,1,1,13.0,0,27.71,28.389,27.932,5534.465,5562.854,5562.854,316.0,311.0,,0,7.0,0,1
